NIL;Classe_eta_capofamiglia;Genere_capofamiglia;Numero_componenti;Tipologia_familiare;Cittadinanza;famiglie_2007;famiglie_2008;famiglie_2009;famiglie_2010;famiglie_2011;famiglie_2012;famiglie_2013;famiglie_2014;famiglie_2015
Affori;35-64;Femmine;3;Coppia convivente con almeno un figlio minorenne;Filippine;2;3;4;4;6;3;4;3;1
Affori;35-64;Femmine;3;Coppia convivente con almeno un figlio minorenne;Italia;20;24;25;27;39;40;40;41;42
Affori;35-64;Femmine;3;Coppia convivente con almeno un figlio minorenne;Perù;1;1;1;1;1;0;0;0;3
Affori;35-64;Femmine;3;Coppia convivente con almeno un figlio minorenne;Sri Lanka;0;0;0;0;1;0;1;2;2
Affori;35-64;Femmine;3;Coppia convivente con figli tutti maggiorenni;Altri paesi;1;1;0;0;0;1;1;1;1
Affori;35-64;Femmine;3;Coppia convivente con figli tutti maggiorenni;Cina;0;0;1;1;1;1;2;2;1
Affori;35-64;Femmine;3;Coppia convivente con figli tutti maggiorenni;Ecuador;0;0;0;0;0;1;1;1;1
Affori;35-64;Femmine;3;Coppia convivente con figli tutti maggiorenni;Filippine;0;1;0;0;0;0;0;0;1
Affori;35-64;Femmine;3;Coppia convivente con figli tutti maggiorenni;Italia;0;0;1;2;5;4;4;6;8
Affori;35-64;Femmine;3;Coppia convivente con figli tutti maggiorenni;Perù;0;0;0;0;0;0;0;1;1
Affori;35-64;Femmine;3;Coppia convivente senza figli;Altri paesi;1;1;0;0;1;1;1;1;1
Affori;35-64;Femmine;3;Coppia convivente senza figli;Cina;0;0;0;0;1;1;1;1;1
Affori;35-64;Femmine;3;Coppia convivente senza figli;Filippine;0;0;0;0;1;1;0;2;5
Affori;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Altri paesi;5;7;8;8;7;4;7;6;9
Affori;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Cina;2;2;2;3;2;1;3;2;2
Affori;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Ecuador;2;2;2;1;3;3;0;2;3
Affori;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Egitto;1;0;0;0;0;0;0;0;0
Affori;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Filippine;5;6;6;5;9;11;9;8;7
Affori;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Italia;75;87;87;84;88;101;106;108;107
Affori;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Perù;5;3;4;3;3;2;3;2;2
Affori;35-64;Femmine;3;Coppia sposata con almeno un figlio minorenne;Sri Lanka;1;1;0;1;2;2;2;2;2
Affori;35-64;Femmine;3;Coppia sposata con figli tutti maggiorenni;Altri paesi;2;2;3;3;4;1;1;0;2
Affori;35-64;Femmine;3;Coppia sposata con figli tutti maggiorenni;Cina;1;2;1;0;1;2;2;4;7
Affori;35-64;Femmine;3;Coppia sposata con figli tutti maggiorenni;Ecuador;0;1;0;2;3;4;3;2;2
Affori;35-64;Femmine;3;Coppia sposata con figli tutti maggiorenni;Egitto;0;1;0;0;0;0;0;0;0
Affori;35-64;Femmine;3;Coppia sposata con figli tutti maggiorenni;Filippine;1;1;2;3;5;6;5;3;3
Affori;35-64;Femmine;3;Coppia sposata con figli tutti maggiorenni;Italia;18;15;15;17;31;31;31;38;46
Affori;35-64;Femmine;3;Coppia sposata con figli tutti maggiorenni;Perù;1;2;2;2;3;2;1;1;1
Affori;35-64;Femmine;3;Coppia sposata con figli tutti maggiorenni;Sri Lanka;0;1;1;1;1;1;1;0;0
Affori;35-64;Femmine;3;Coppia sposata senza figli;Altri paesi;0;0;0;1;1;1;1;1;1
Affori;35-64;Femmine;3;Coppia sposata senza figli;Cina;0;0;0;0;1;1;2;1;1
Affori;35-64;Femmine;3;Coppia sposata senza figli;Ecuador;1;0;0;0;0;0;0;0;0
Affori;35-64;Femmine;3;Coppia sposata senza figli;Filippine;0;1;1;2;0;0;0;0;0
Affori;35-64;Femmine;3;Coppia sposata senza figli;Italia;1;3;2;0;0;0;0;1;2
Affori;35-64;Femmine;3;Coppia sposata senza figli;Sri Lanka;0;1;0;1;1;1;1;1;1
Affori;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Altri paesi;4;4;5;6;9;10;10;10;11
Affori;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Cina;3;1;1;2;2;9;11;10;8
Affori;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Ecuador;3;4;2;3;2;1;3;6;4
Affori;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Egitto;0;0;0;0;0;1;1;0;0
Affori;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Filippine;1;1;1;1;2;4;4;5;4
Affori;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Italia;42;44;59;67;85;79;80;78;77
Affori;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Perù;4;3;4;3;5;1;3;3;3
Affori;35-64;Femmine;3;Monogenitore con almeno un figlio minorenne;Sri Lanka;1;0;2;1;0;1;0;1;1
Affori;35-64;Femmine;3;Monogenitore con figli tutti maggiorenni;Altri paesi;3;3;3;3;4;6;5;5;7
Affori;35-64;Femmine;3;Monogenitore con figli tutti maggiorenni;Cina;0;1;0;1;1;0;0;1;0
Affori;35-64;Femmine;3;Monogenitore con figli tutti maggiorenni;Ecuador;1;1;1;1;2;1;0;3;2
Affori;35-64;Femmine;3;Monogenitore con figli tutti maggiorenni;Filippine;4;4;3;4;5;3;2;0;3
Affori;35-64;Femmine;3;Monogenitore con figli tutti maggiorenni;Italia;38;34;33;27;32;32;32;39;45
Affori;35-64;Femmine;3;Monogenitore con figli tutti maggiorenni;Perù;2;2;0;0;2;3;3;2;1
Affori;35-64;Femmine;3;Monogenitore con figli tutti maggiorenni;Sri Lanka;0;0;0;1;1;0;0;0;0
Affori;35-64;Femmine;4;Altre tipologie;Filippine;1;1;1;0;0;0;0;0;0
Affori;35-64;Femmine;4;Altre tipologie;Italia;0;0;1;0;0;0;0;1;2
Affori;35-64;Femmine;4;Coppia convivente con almeno un figlio minorenne;Altri paesi;1;2;2;4;6;5;8;7;4
Affori;35-64;Femmine;4;Coppia convivente con almeno un figlio minorenne;Cina;1;2;4;4;4;9;8;8;10
Affori;35-64;Femmine;4;Coppia convivente con almeno un figlio minorenne;Ecuador;2;2;2;1;3;2;1;0;0
Affori;35-64;Femmine;4;Coppia convivente con almeno un figlio minorenne;Filippine;0;0;0;1;6;8;8;9;9
Affori;35-64;Femmine;4;Coppia convivente con almeno un figlio minorenne;Italia;18;15;19;18;22;24;25;27;31
Affori;35-64;Femmine;4;Coppia convivente con almeno un figlio minorenne;Perù;4;3;1;2;2;1;1;1;1
Affori;35-64;Femmine;4;Coppia convivente con almeno un figlio minorenne;Sri Lanka;0;0;0;0;0;0;0;0;1
Affori;35-64;Femmine;4;Coppia convivente con figli tutti maggiorenni;Altri paesi;0;0;1;0;0;0;0;0;2
Affori;35-64;Femmine;4;Coppia convivente con figli tutti maggiorenni;Cina;1;2;2;2;2;2;1;2;4
Affori;35-64;Femmine;4;Coppia convivente con figli tutti maggiorenni;Ecuador;0;0;0;0;0;0;1;1;2
Affori;35-64;Femmine;4;Coppia convivente con figli tutti maggiorenni;Filippine;0;0;1;1;1;2;2;2;2
Affori;35-64;Femmine;4;Coppia convivente con figli tutti maggiorenni;Italia;0;0;1;3;2;0;1;0;1
Affori;35-64;Femmine;4;Coppia convivente con figli tutti maggiorenni;Perù;0;0;0;0;0;0;0;1;0
Affori;35-64;Femmine;4;Coppia convivente senza figli;Cina;0;1;1;0;0;0;0;0;0
Affori;35-64;Femmine;4;Coppia convivente senza figli;Filippine;0;0;0;0;0;0;1;1;1
Affori;35-64;Femmine;4;Coppia sposata con almeno un figlio minorenne;Altri paesi;4;5;7;7;15;14;15;16;17
Affori;35-64;Femmine;4;Coppia sposata con almeno un figlio minorenne;Cina;8;10;11;14;19;18;21;19;19
Affori;35-64;Femmine;4;Coppia sposata con almeno un figlio minorenne;Ecuador;2;2;2;2;3;4;4;3;2
Affori;35-64;Femmine;4;Coppia sposata con almeno un figlio minorenne;Egitto;0;0;1;1;1;1;1;1;2
Affori;35-64;Femmine;4;Coppia sposata con almeno un figlio minorenne;Filippine;13;15;13;16;24;23;22;25;27
Affori;35-64;Femmine;4;Coppia sposata con almeno un figlio minorenne;Italia;95;100;109;113;151;163;153;159;163
Affori;35-64;Femmine;4;Coppia sposata con almeno un figlio minorenne;Perù;5;7;5;8;12;12;8;8;6
Affori;35-64;Femmine;4;Coppia sposata con almeno un figlio minorenne;Sri Lanka;2;2;3;3;3;4;3;4;4
Affori;35-64;Femmine;4;Coppia sposata con figli tutti maggiorenni;Altri paesi;0;2;1;0;0;1;1;0;1
Affori;35-64;Femmine;4;Coppia sposata con figli tutti maggiorenni;Cina;3;2;2;3;4;5;4;5;4
Affori;35-64;Femmine;4;Coppia sposata con figli tutti maggiorenni;Ecuador;0;0;1;0;0;0;0;0;1
Affori;35-64;Femmine;4;Coppia sposata con figli tutti maggiorenni;Filippine;2;2;3;4;5;6;5;4;7
Affori;35-64;Femmine;4;Coppia sposata con figli tutti maggiorenni;Italia;5;9;9;12;14;16;16;18;22
Affori;35-64;Femmine;4;Coppia sposata con figli tutti maggiorenni;Perù;0;0;1;1;3;2;2;2;2
Affori;35-64;Femmine;4;Coppia sposata con figli tutti maggiorenni;Sri Lanka;1;0;0;0;0;0;0;0;0
Affori;35-64;Femmine;4;Coppia sposata senza figli;Altri paesi;0;0;0;0;0;0;0;1;1
Affori;35-64;Femmine;4;Monogenitore con almeno un figlio minorenne;Altri paesi;2;2;2;2;3;5;7;4;3
Affori;35-64;Femmine;4;Monogenitore con almeno un figlio minorenne;Cina;3;2;2;3;4;4;4;4;5
Affori;35-64;Femmine;4;Monogenitore con almeno un figlio minorenne;Ecuador;1;1;2;2;4;5;4;3;3
Affori;35-64;Femmine;4;Monogenitore con almeno un figlio minorenne;Egitto;1;1;1;1;2;1;2;1;1
Affori;35-64;Femmine;4;Monogenitore con almeno un figlio minorenne;Filippine;2;4;2;3;4;3;4;3;4
Affori;35-64;Femmine;4;Monogenitore con almeno un figlio minorenne;Italia;9;14;14;12;14;13;10;12;15
Affori;35-64;Femmine;4;Monogenitore con almeno un figlio minorenne;Perù;2;2;1;2;2;3;4;3;3
Affori;35-64;Femmine;4;Monogenitore con almeno un figlio minorenne;Sri Lanka;0;0;0;1;1;2;2;2;2
Affori;35-64;Femmine;4;Monogenitore con figli tutti maggiorenni;Altri paesi;1;2;2;2;2;0;0;0;0
Affori;35-64;Femmine;4;Monogenitore con figli tutti maggiorenni;Cina;0;0;1;1;1;2;2;1;1
Affori;35-64;Femmine;4;Monogenitore con figli tutti maggiorenni;Ecuador;1;1;1;2;2;2;3;2;2
Affori;35-64;Femmine;4;Monogenitore con figli tutti maggiorenni;Filippine;2;3;4;2;3;2;2;2;2
Affori;35-64;Femmine;4;Monogenitore con figli tutti maggiorenni;Italia;6;6;7;8;9;9;9;7;6
Affori;35-64;Femmine;4;Monogenitore con figli tutti maggiorenni;Perù;2;2;2;2;2;2;2;1;1
Affori;35-64;Femmine;4;Monogenitore con figli tutti maggiorenni;Sri Lanka;1;1;0;0;0;0;0;0;0
Affori;35-64;Maschi;1;Single;Altri paesi;123;137;150;163;174;202;208;188;200
Affori;35-64;Maschi;1;Single;Cina;18;22;25;23;29;28;38;49;53
Affori;35-64;Maschi;1;Single;Ecuador;23;22;21;26;25;24;26;23;22
Affori;35-64;Maschi;1;Single;Egitto;129;126;148;168;194;209;203;181;198
Affori;35-64;Maschi;1;Single;Filippine;20;18;22;22;29;33;31;35;35
Affori;35-64;Maschi;1;Single;Italia;549;575;603;645;678;677;695;725;738
Affori;35-64;Maschi;1;Single;Perù;21;23;21;25;25;25;20;23;24
Affori;35-64;Maschi;1;Single;Sri Lanka;16;16;17;19;25;33;34;39;40
Affori;35-64;Maschi;2;Altre tipologie;Altri paesi;4;4;4;6;12;7;5;4;4
Affori;35-64;Maschi;2;Altre tipologie;Cina;0;0;0;0;1;3;1;3;5
Affori;35-64;Maschi;2;Altre tipologie;Ecuador;0;0;0;0;0;1;2;3;3
Affori;35-64;Maschi;2;Altre tipologie;Egitto;7;7;6;8;8;10;8;3;5
Affori;35-64;Maschi;2;Altre tipologie;Filippine;1;1;1;1;1;3;2;1;1
Affori;35-64;Maschi;2;Altre tipologie;Italia;26;30;36;39;33;36;43;35;32
Affori;35-64;Maschi;2;Altre tipologie;Perù;1;1;1;3;2;2;1;1;1
Affori;35-64;Maschi;2;Altre tipologie;Sri Lanka;0;0;0;0;0;0;1;1;0
Affori;35-64;Maschi;2;Coppia convivente senza figli;Altri paesi;4;6;6;6;5;4;5;9;8
Affori;35-64;Maschi;2;Coppia convivente senza figli;Cina;6;8;6;5;4;5;8;6;8
Affori;35-64;Maschi;2;Coppia convivente senza figli;Ecuador;1;1;2;3;2;2;2;3;3
Affori;35-64;Maschi;2;Coppia convivente senza figli;Egitto;1;4;3;3;1;2;2;3;3
Affori;35-64;Maschi;2;Coppia convivente senza figli;Filippine;4;4;4;5;2;5;3;6;6
Affori;35-64;Maschi;2;Coppia convivente senza figli;Italia;27;36;51;64;55;64;65;75;72
Affori;35-64;Maschi;2;Coppia convivente senza figli;Perù;3;1;2;3;1;1;1;2;4
Affori;35-64;Maschi;2;Coppia convivente senza figli;Sri Lanka;3;4;5;6;6;6;6;5;5
Affori;35-64;Maschi;2;Coppia sposata senza figli;Altri paesi;9;11;10;18;17;19;15;13;14
Affori;35-64;Maschi;2;Coppia sposata senza figli;Cina;8;8;9;16;14;16;14;14;10
Affori;35-64;Maschi;2;Coppia sposata senza figli;Ecuador;0;1;1;1;2;1;1;1;0
Affori;35-64;Maschi;2;Coppia sposata senza figli;Egitto;1;0;0;0;1;1;2;5;3
Affori;35-64;Maschi;2;Coppia sposata senza figli;Filippine;16;15;15;13;13;12;10;13;9
Affori;35-64;Maschi;2;Coppia sposata senza figli;Italia;571;574;571;558;481;489;479;475;481
Affori;35-64;Maschi;2;Coppia sposata senza figli;Perù;1;1;4;1;2;2;4;3;3
Affori;35-64;Maschi;2;Coppia sposata senza figli;Sri Lanka;3;3;3;4;2;3;3;9;5
Affori;35-64;Maschi;2;Monogenitore con almeno un figlio minorenne;Altri paesi;4;4;5;8;4;4;6;9;6
Affori;35-64;Maschi;2;Monogenitore con almeno un figlio minorenne;Cina;3;4;3;4;4;5;6;6;10
Affori;35-64;Maschi;2;Monogenitore con almeno un figlio minorenne;Ecuador;0;0;0;0;0;2;5;1;0
Affori;35-64;Maschi;2;Monogenitore con almeno un figlio minorenne;Egitto;1;1;3;6;0;4;8;8;3
Affori;35-64;Maschi;2;Monogenitore con almeno un figlio minorenne;Filippine;3;1;0;1;1;0;0;0;1
Affori;35-64;Maschi;2;Monogenitore con almeno un figlio minorenne;Italia;16;17;18;14;13;12;14;15;19
Affori;35-64;Maschi;2;Monogenitore con almeno un figlio minorenne;Perù;3;1;1;1;2;2;1;2;5
Affori;35-64;Maschi;2;Monogenitore con almeno un figlio minorenne;Sri Lanka;0;0;0;0;0;1;0;0;1
Affori;35-64;Maschi;2;Monogenitore con figli tutti maggiorenni;Altri paesi;1;4;4;4;4;4;5;4;2
Affori;35-64;Maschi;2;Monogenitore con figli tutti maggiorenni;Cina;1;1;4;4;2;3;3;4;4
Affori;35-64;Maschi;2;Monogenitore con figli tutti maggiorenni;Ecuador;0;0;0;0;2;1;1;1;1
Affori;35-64;Maschi;2;Monogenitore con figli tutti maggiorenni;Egitto;9;8;8;8;6;4;4;4;4
Affori;35-64;Maschi;2;Monogenitore con figli tutti maggiorenni;Filippine;0;1;1;3;1;1;3;1;0
Affori;35-64;Maschi;2;Monogenitore con figli tutti maggiorenni;Italia;27;37;38;35;34;33;35;35;36
Affori;35-64;Maschi;2;Monogenitore con figli tutti maggiorenni;Perù;1;1;1;1;2;2;4;2;1
Affori;35-64;Maschi;3;Altre tipologie;Altri paesi;0;1;1;3;3;4;2;1;1
Affori;35-64;Maschi;3;Altre tipologie;Cina;0;0;0;1;1;1;1;1;1
Affori;35-64;Maschi;3;Altre tipologie;Egitto;0;0;0;1;0;0;0;0;0
Affori;35-64;Maschi;3;Altre tipologie;Filippine;0;0;0;0;0;0;1;1;1
Affori;35-64;Maschi;3;Altre tipologie;Italia;4;5;4;3;4;5;1;1;1
Affori;35-64;Maschi;3;Coppia convivente con almeno un figlio minorenne;Altri paesi;7;4;4;4;6;6;9;8;10
Affori;35-64;Maschi;3;Coppia convivente con almeno un figlio minorenne;Cina;2;3;4;6;4;1;4;5;4
Affori;35-64;Maschi;3;Coppia convivente con almeno un figlio minorenne;Ecuador;2;2;1;2;3;2;2;1;1
Affori;35-64;Maschi;3;Coppia convivente con almeno un figlio minorenne;Egitto;0;1;2;3;3;2;1;1;0
Affori;35-64;Maschi;3;Coppia convivente con almeno un figlio minorenne;Filippine;2;2;4;4;4;3;6;6;6
Affori;35-64;Maschi;3;Coppia convivente con almeno un figlio minorenne;Italia;33;34;43;37;43;57;61;70;82
Affori;35-64;Maschi;3;Coppia convivente con almeno un figlio minorenne;Perù;1;1;1;1;1;1;1;2;1
Affori;35-64;Maschi;3;Coppia convivente con almeno un figlio minorenne;Sri Lanka;1;1;1;1;0;5;6;6;6
Affori;35-64;Maschi;3;Coppia convivente con figli tutti maggiorenni;Altri paesi;0;0;0;1;1;1;2;1;2
Affori;35-64;Maschi;3;Coppia convivente con figli tutti maggiorenni;Cina;1;0;0;1;0;0;0;0;1
Affori;35-64;Maschi;3;Coppia convivente con figli tutti maggiorenni;Egitto;1;1;1;1;1;0;0;0;0
Affori;35-64;Maschi;3;Coppia convivente con figli tutti maggiorenni;Filippine;1;1;1;1;1;1;1;1;1
Affori;35-64;Maschi;3;Coppia convivente con figli tutti maggiorenni;Italia;4;6;5;4;3;5;4;4;6
Affori;35-64;Maschi;3;Coppia convivente con figli tutti maggiorenni;Perù;0;0;0;0;1;1;1;1;1
Affori;35-64;Maschi;3;Coppia convivente senza figli;Altri paesi;0;0;0;0;1;1;2;2;1
Affori;35-64;Maschi;3;Coppia convivente senza figli;Cina;0;0;0;1;2;1;1;1;0
Affori;35-64;Maschi;3;Coppia convivente senza figli;Filippine;1;1;1;1;1;1;1;1;1
Affori;35-64;Maschi;3;Coppia convivente senza figli;Italia;2;2;2;3;2;2;5;6;7
Affori;35-64;Maschi;3;Coppia sposata con almeno un figlio minorenne;Altri paesi;14;16;19;17;20;27;31;25;28
Affori;35-64;Maschi;3;Coppia sposata con almeno un figlio minorenne;Cina;12;13;16;16;15;18;15;15;14
Affori;35-64;Maschi;3;Coppia sposata con almeno un figlio minorenne;Ecuador;1;0;0;1;2;2;1;2;2
Affori;35-64;Maschi;3;Coppia sposata con almeno un figlio minorenne;Egitto;1;2;2;4;6;4;1;4;8
Affori;35-64;Maschi;3;Coppia sposata con almeno un figlio minorenne;Filippine;4;7;9;11;11;13;16;13;15
Affori;35-64;Maschi;3;Coppia sposata con almeno un figlio minorenne;Italia;381;383;376;343;292;313;314;295;290
Affori;35-64;Maschi;3;Coppia sposata con almeno un figlio minorenne;Perù;3;5;7;11;9;7;5;1;1
Affori;35-64;Maschi;3;Coppia sposata con almeno un figlio minorenne;Sri Lanka;7;7;8;10;14;14;15;12;14
Affori;35-64;Maschi;3;Coppia sposata con figli tutti maggiorenni;Altri paesi;3;1;3;10;6;7;8;9;8
Affori;35-64;Maschi;3;Coppia sposata con figli tutti maggiorenni;Cina;8;8;8;9;15;17;18;23;25
Affori;35-64;Maschi;3;Coppia sposata con figli tutti maggiorenni;Egitto;0;0;1;2;1;1;1;1;0
Affori;35-64;Maschi;3;Coppia sposata con figli tutti maggiorenni;Filippine;5;4;3;3;3;3;3;4;5
Affori;35-64;Maschi;3;Coppia sposata con figli tutti maggiorenni;Italia;389;372;378;368;340;344;323;340;345
Affori;35-64;Maschi;3;Coppia sposata con figli tutti maggiorenni;Sri Lanka;1;1;2;0;0;0;0;0;0
Affori;35-64;Maschi;3;Coppia sposata senza figli;Altri paesi;1;0;0;0;1;3;3;2;2
Affori;35-64;Maschi;3;Coppia sposata senza figli;Cina;0;3;3;2;2;3;4;4;3
Affori;35-64;Maschi;3;Coppia sposata senza figli;Ecuador;0;0;0;0;0;0;0;0;3
Affori;35-64;Maschi;3;Coppia sposata senza figli;Filippine;2;2;1;1;2;2;2;0;0
Affori;35-64;Maschi;3;Coppia sposata senza figli;Italia;9;13;13;15;11;6;6;5;7
Affori;35-64;Maschi;3;Monogenitore con almeno un figlio minorenne;Altri paesi;3;3;2;1;2;2;3;2;4
Affori;35-64;Maschi;3;Monogenitore con almeno un figlio minorenne;Cina;1;3;2;2;3;2;4;7;6
Affori;35-64;Maschi;3;Monogenitore con almeno un figlio minorenne;Ecuador;1;1;1;2;1;1;0;0;0
Affori;35-64;Maschi;3;Monogenitore con almeno un figlio minorenne;Egitto;0;1;2;1;0;1;2;2;5
Affori;35-64;Maschi;3;Monogenitore con almeno un figlio minorenne;Filippine;1;0;0;0;0;1;0;0;0
Affori;35-64;Maschi;3;Monogenitore con almeno un figlio minorenne;Italia;11;12;11;10;11;12;15;12;14
Affori;35-64;Maschi;3;Monogenitore con almeno un figlio minorenne;Perù;0;0;0;0;1;1;1;2;2
Affori;35-64;Maschi;3;Monogenitore con figli tutti maggiorenni;Altri paesi;0;0;0;0;0;0;1;1;1
Affori;35-64;Maschi;3;Monogenitore con figli tutti maggiorenni;Cina;0;0;0;0;0;0;1;1;0
Affori;35-64;Maschi;3;Monogenitore con figli tutti maggiorenni;Egitto;0;1;0;2;3;3;1;1;0
Affori;35-64;Maschi;3;Monogenitore con figli tutti maggiorenni;Italia;14;15;18;21;19;16;15;13;11
Affori;35-64;Maschi;3;Monogenitore con figli tutti maggiorenni;Sri Lanka;0;0;0;1;0;0;0;0;0
Affori;35-64;Maschi;4;Altre tipologie;Altri paesi;1;0;0;0;0;0;0;0;0
Affori;35-64;Maschi;4;Altre tipologie;Italia;4;1;2;1;2;2;4;1;1
Affori;35-64;Maschi;4;Coppia convivente con almeno un figlio minorenne;Altri paesi;5;5;6;9;10;10;9;8;8
Affori;35-64;Maschi;4;Coppia convivente con almeno un figlio minorenne;Cina;7;8;7;14;14;18;19;19;24
Affori;35-64;Maschi;4;Coppia convivente con almeno un figlio minorenne;Ecuador;2;3;2;1;1;2;2;3;2
Affori;35-64;Maschi;4;Coppia convivente con almeno un figlio minorenne;Egitto;0;0;0;3;3;5;8;4;7
Affori;35-64;Maschi;4;Coppia convivente con almeno un figlio minorenne;Filippine;4;5;5;6;8;10;9;8;9
Affori;35-64;Maschi;4;Coppia convivente con almeno un figlio minorenne;Italia;27;32;34;42;46;48;55;55;61
Affori;35-64;Maschi;4;Coppia convivente con almeno un figlio minorenne;Perù;2;3;4;3;2;2;2;2;4
Affori;35-64;Maschi;4;Coppia convivente con almeno un figlio minorenne;Sri Lanka;0;0;0;0;1;1;1;5;5
Affori;35-64;Maschi;4;Coppia convivente con figli tutti maggiorenni;Altri paesi;0;0;0;0;0;0;0;0;1
Affori;35-64;Maschi;4;Coppia convivente con figli tutti maggiorenni;Cina;0;1;2;1;1;1;1;1;0
Affori;35-64;Maschi;4;Coppia convivente con figli tutti maggiorenni;Ecuador;0;0;0;1;1;1;1;1;1
Affori;35-64;Maschi;4;Coppia convivente con figli tutti maggiorenni;Filippine;0;0;0;0;0;0;0;1;2
Affori;35-64;Maschi;4;Coppia convivente con figli tutti maggiorenni;Italia;3;0;1;3;2;1;2;2;2
Affori;35-64;Maschi;4;Coppia convivente senza figli;Altri paesi;0;0;0;0;0;1;0;0;0
Affori;35-64;Maschi;4;Coppia convivente senza figli;Cina;0;1;1;1;0;0;1;1;1
Affori;35-64;Maschi;4;Coppia convivente senza figli;Italia;1;1;1;0;0;1;1;1;0
Affori;35-64;Maschi;4;Coppia convivente senza figli;Perù;0;0;0;0;0;1;1;1;1
Affori;35-64;Maschi;4;Coppia sposata con almeno un figlio minorenne;Altri paesi;26;28;33;42;47;55;58;51;48
Affori;35-64;Maschi;4;Coppia sposata con almeno un figlio minorenne;Cina;55;56;58;65;64;81;82;77;84
Affori;35-64;Maschi;4;Coppia sposata con almeno un figlio minorenne;Ecuador;7;7;7;7;10;10;11;9;9
Affori;35-64;Maschi;4;Coppia sposata con almeno un figlio minorenne;Egitto;27;31;35;35;46;62;72;67;73
Affori;35-64;Maschi;4;Coppia sposata con almeno un figlio minorenne;Filippine;15;20;21;20;25;27;30;27;29
Affori;35-64;Maschi;4;Coppia sposata con almeno un figlio minorenne;Italia;583;580;562;573;537;522;522;520;551
Affori;35-64;Maschi;4;Coppia sposata con almeno un figlio minorenne;Perù;1;1;0;0;1;5;6;9;8
Affori;35-64;Maschi;4;Coppia sposata con almeno un figlio minorenne;Sri Lanka;19;19;16;17;16;18;21;17;21
Affori;35-64;Maschi;4;Coppia sposata con figli tutti maggiorenni;Altri paesi;1;2;9;7;9;7;5;6;6
Affori;35-64;Maschi;4;Coppia sposata con figli tutti maggiorenni;Cina;11;14;17;19;23;24;24;25;25
Affori;35-64;Maschi;4;Coppia sposata con figli tutti maggiorenni;Egitto;1;3;1;1;1;1;1;1;2
Affori;35-64;Maschi;4;Coppia sposata con figli tutti maggiorenni;Filippine;1;4;5;5;2;5;4;8;9
Affori;35-64;Maschi;4;Coppia sposata con figli tutti maggiorenni;Italia;244;246;209;205;198;195;193;184;196
Affori;35-64;Maschi;4;Coppia sposata con figli tutti maggiorenni;Perù;1;1;1;1;1;0;0;0;0
Affori;35-64;Maschi;4;Coppia sposata con figli tutti maggiorenni;Sri Lanka;1;1;1;0;1;1;2;2;2
Affori;35-64;Maschi;4;Coppia sposata senza figli;Altri paesi;1;1;1;1;1;0;0;0;0
Affori;35-64;Maschi;4;Coppia sposata senza figli;Cina;2;0;1;1;1;1;1;1;1
Affori;35-64;Maschi;4;Coppia sposata senza figli;Filippine;0;0;0;1;1;0;0;0;0
Affori;35-64;Maschi;4;Coppia sposata senza figli;Italia;3;1;3;0;0;1;2;2;2
Affori;35-64;Maschi;4;Monogenitore con almeno un figlio minorenne;Altri paesi;0;0;0;0;0;1;0;0;0
Affori;35-64;Maschi;4;Monogenitore con almeno un figlio minorenne;Cina;1;1;2;1;0;0;1;1;2
Affori;35-64;Maschi;4;Monogenitore con almeno un figlio minorenne;Egitto;0;0;2;1;1;1;1;1;1
Affori;35-64;Maschi;4;Monogenitore con almeno un figlio minorenne;Italia;1;0;0;1;2;2;2;2;1
Affori;35-64;Maschi;4;Monogenitore con figli tutti maggiorenni;Cina;0;1;1;0;0;0;0;0;0
Affori;35-64;Maschi;4;Monogenitore con figli tutti maggiorenni;Italia;1;0;1;3;4;4;2;1;1
Affori;65-79;Femmine;1;Single;Altri paesi;0;3;4;4;5;5;9;18;22
Affori;65-79;Femmine;1;Single;Cina;0;0;1;2;2;2;1;0;0
Affori;65-79;Femmine;1;Single;Ecuador;0;0;0;0;0;1;1;3;2
Affori;65-79;Femmine;1;Single;Filippine;2;2;5;5;8;11;15;9;11
Affori;65-79;Femmine;1;Single;Italia;716;696;684;691;697;682;694;682;672
Affori;65-79;Femmine;1;Single;Perù;0;2;1;1;1;1;1;3;3
Affori;65-79;Femmine;1;Single;Sri Lanka;1;1;3;2;2;2;1;1;2
Affori;65-79;Femmine;2;Altre tipologie;Altri paesi;0;0;0;0;0;0;0;0;1
Affori;65-79;Femmine;2;Altre tipologie;Ecuador;0;0;0;0;0;0;1;2;1
Affori;65-79;Femmine;2;Altre tipologie;Italia;19;16;21;17;16;19;18;22;20
